model,augment,accuracy,loss,params,model_size_mb,inference_ms,fps
baseline,none,0.7758,1.0068623321056367,620362,2.371129035949707,0.2992585450192564,3341.5921337706595
baseline,rotate,0.7935,0.5985620479106903,620362,2.371159553527832,0.259492084987869,3853.682088402615
lightweight,none,0.782,0.6534788666248321,44362,0.1854104995727539,0.9375956250005402,1066.5578777625203
lightweight,rotate,0.7791,0.6555576804161072,44362,0.18549060821533203,1.1767591700117919,849.7915507979253
